
 occurs 35772 times.
getRight occurs 2 times.
getRingingState occurs 1 times.
getRingtone occurs 1 times.
getRoot occurs 8 times.
getRootCauseMessage occurs 7 times.
getRootId occurs 1 times.
getRootMenu occurs 4 times.
getRootNode occurs 1 times.
getRule occurs 3 times.
getRuleActionIds occurs 2 times.
getRuleCount occurs 1 times.
getRuleName occurs 2 times.
getRules occurs 2 times.
getRulesMatchingEvent occurs 1 times.
getSMSEvent occurs 1 times.
getSSID occurs 3 times.
getSSIDfromNetwork occurs 2 times.
getSafeFileName occurs 2 times.
getScaleX occurs 2 times.
getScaleY occurs 2 times.
getScore occurs 4 times.
getScores occurs 4 times.
getScreenDensity occurs 1 times.
getScreenState occurs 2 times.
getScrollDir occurs 1 times.
getScrollRange occurs 6 times.
getScrollX occurs 6 times.
getScrollY occurs 12 times.
getSearchAccountStats occurs 1 times.
getSearchAccountStatsSynchronous occurs 2 times.
getSearchIconId occurs 2 times.
getSearchTerm occurs 1 times.
getSearchableFolders occurs 1 times.
getSecondInAnimation occurs 1 times.
getSecondOutAnimation occurs 1 times.
getSecondaryProgress occurs 2 times.
getSecretKeyIdsFromEmail occurs 3 times.
getSelected occurs 4 times.
getSelectedAttribute occurs 1 times.
getSelectedColor occurs 3 times.
getSelectedItem occurs 2 times.
getSelectedItemId occurs 4 times.
getSelectedItemPosition occurs 14 times.
getSelectedItems occurs 2 times.
getSelectedMessage occurs 5 times.
getSelectedNavigationIndex occurs 8 times.
getSelectedTab occurs 6 times.
getSelectedView occurs 12 times.
getSendSpoolFolder occurs 2 times.
getSenderAddressFromCursor occurs 4 times.
getSentDate occurs 3 times.
getSentFolderName occurs 1 times.
getService occurs 2 times.
getSettings occurs 4 times.
getSextet occurs 1 times.
getSharedPreferences occurs 50 times.
getSherlock occurs 281 times.
getSherlockActivity occurs 19 times.
getShort occurs 4 times.
getShortcut occurs 10 times.
getShortcutLabel occurs 2 times.
getShow occurs 1 times.
getShowDefaultActivity occurs 2 times.
getShowDividers occurs 2 times.
getShowIndicator occurs 1 times.
getShowIndicatorInternal occurs 1 times.
getShowPictures occurs 1 times.
getShowViewWhileRefreshing occurs 2 times.
getShuffleEdge occurs 6 times.
getShuffleMode occurs 3 times.
getSigHash occurs 1 times.
getSignal occurs 1 times.
getSignalThreshold occurs 1 times.
getSignature occurs 2 times.
getSignatureHtml occurs 1 times.
getSignatureKeyId occurs 1 times.
getSignatureSuccess occurs 1 times.
getSignatureUnknown occurs 1 times.
getSignatureUse occurs 2 times.
getSignatureUserId occurs 1 times.
getSingleLineOfChildren occurs 4 times.
getSize occurs 30 times.
getSleepPolicy occurs 1 times.
getSleepPolicyString occurs 2 times.
getSliderTrackerColor occurs 1 times.
getSolutions occurs 4 times.
getSongCountForAlbum occurs 1 times.
getSongFragment occurs 8 times.
getSongId occurs 1 times.
getSongListForAlbum occurs 1 times.
getSongListForArtist occurs 1 times.
getSongListForCursor occurs 6 times.
getSongListForFavorites occurs 1 times.
getSongListForFavoritesCursor occurs 2 times.
getSongListForGenre occurs 1 times.
getSongListForLastAdded occurs 1 times.
getSongListForPlaylist occurs 2 times.
getSongSortOrder occurs 1 times.
getSortOrder occurs 2 times.
getSortType occurs 5 times.
getSource occurs 1 times.
getSourceTag occurs 1 times.
getSpamFolderName occurs 1 times.
getSpecialFolderToUrl occurs 1 times.
getSpecialFoldersList occurs 1 times.
getSpeed occurs 4 times.
getSplitViewMode occurs 1 times.
getSqliteCreateStatement occurs 17 times.
getStackTrace occurs 1 times.
getStackTraceString occurs 1 times.
getStartDelay occurs 6 times.
getStartHour occurs 1 times.
getStartId occurs 1 times.
getStartMinute occurs 1 times.
getStartPage occurs 1 times.
getStartTimeString occurs 1 times.
getState occurs 3 times.
getStats occurs 1 times.
getStatus occurs 7 times.
getStatusFromSSID occurs 1 times.
getStatusMessage occurs 1 times.
getStorage occurs 1 times.
getStorageManager occurs 9 times.
getStorageProviderId occurs 1 times.
getStore occurs 2 times.
getStoreUri occurs 1 times.
getStoredYCoordinateForTab occurs 2 times.
getString occurs 421 times.
getStringArrayFromCursor occurs 1 times.
getStringFromCursor occurs 43 times.
getStringOrNull occurs 10 times.
getStringSet occurs 1 times.
getStringToNumber occurs 2 times.
getStringtoDate occurs 2 times.
getStrokeColor occurs 1 times.
getStrokeWidth occurs 2 times.
getSubMenu occurs 8 times.
getSubView occurs 1 times.
getSubViewId occurs 3 times.
getSubject occurs 3 times.
getSubtitle occurs 18 times.
getSuggestedMinimumHeight occurs 3 times.
getSuggestedMinimumWidth occurs 3 times.
getSuggestions occurs 4 times.
getSuggestionsAdapter occurs 2 times.
getSummary occurs 1 times.
getSupplicantState occurs 4 times.
getSupplicantStateString occurs 2 times.
getSupportActionBar occurs 22 times.
getSupportFragmentManager occurs 22 times.
getSupportLoaderManager occurs 2 times.
getSupportMenuInflater occurs 31 times.
getSyncClass occurs 4 times.
getSystemService occurs 25 times.
getSystemServiceName occurs 5 times.
getTab occurs 2 times.
getTabAt occurs 6 times.
getTabContainer occurs 2 times.
getTabCount occurs 6 times.
getTabHost occurs 5 times.
getTabWithText occurs 1 times.
getTabs occurs 2 times.
getTag occurs 10 times.
getTagInfo occurs 3 times.
getTagInfoProvider occurs 2 times.
getTagName occurs 1 times.
getTarget occurs 2 times.
getTargetFragment occurs 1 times.
getText occurs 25 times.
getTextColor occurs 1 times.
getTextColorForBackground occurs 1 times.
getTextContent occurs 1 times.
getTextForDisplay occurs 1 times.
getTextFromPart occurs 5 times.
getTextSize occurs 1 times.
getTheDrawable occurs 4 times.
getTheme occurs 1 times.
getThemeBackgroundColor occurs 1 times.
getThemeId occurs 1 times.
getThemePackageName occurs 2 times.
getThemedContext occurs 12 times.
getThread occurs 2 times.
getThreadId occurs 3 times.
getThreadInfo occurs 3 times.
getThreadedMessages occurs 2 times.
getThreshold occurs 6 times.
getThumbnailFile occurs 3 times.
getTime occurs 3 times.
getTimestamp occurs 1 times.
getTitle occurs 34 times.
getTitleCondensed occurs 10 times.
getTitleForItemView occurs 2 times.
getTitleHeight occurs 4 times.
getTitlePadding occurs 1 times.
getToast occurs 1 times.
getTokenList occurs 1 times.
getTop occurs 1 times.
getTopPadding occurs 1 times.
getTorch occurs 1 times.
getTotSeconds occurs 3 times.
getTotal occurs 1 times.
getTotalImportedCat occurs 1 times.
getTotalImportedParty occurs 1 times.
getTotalIn occurs 2 times.
getTotalOut occurs 2 times.
getTotalPages occurs 1 times.
getTrackName occurs 8 times.
getTransactionSequence occurs 1 times.
getTransactionSum occurs 2 times.
getTransformation occurs 1 times.
getTransformations occurs 1 times.
getTranslationX occurs 6 times.
getTranslationY occurs 6 times.
getTranslatorsNames occurs 2 times.
getTransportUri occurs 1 times.
getTrashFolderName occurs 1 times.
getType occurs 15 times.
getTypeName occurs 1 times.
getTypeString occurs 1 times.
getTypedNewInstance occurs 4 times.
getTypeface occurs 2 times.
getUid occurs 2 times.
getUidFromMessageId occurs 6 times.
getUidToRead occurs 1 times.
getUidToUrl occurs 1 times.
getUids occurs 1 times.
getUidsFromMessages occurs 2 times.
getUngzippedContent occurs 1 times.
getUniqueIdColumnIndex occurs 4 times.
getUniqueWords occurs 4 times.
getUnreadMessageCount occurs 5 times.
getUnselectedColor occurs 1 times.
getUrl occurs 4 times.
getUsableSpace occurs 1 times.
getUserId occurs 3 times.
getUserInput occurs 1 times.
getUsername occurs 3 times.
getUuid occurs 5 times.
getValue occurs 28 times.
getValueForMessage occurs 1 times.
getValueForThread occurs 1 times.
getValues occurs 2 times.
getVersion occurs 3 times.
getVersionInfo occurs 1 times.
getVersionName occurs 2 times.
getVersionNumber occurs 3 times.
getVibratePattern occurs 1 times.
getVibrateTimes occurs 1 times.
getVibration occurs 3 times.
getVideoFileSize occurs 3 times.
getView occurs 50 times.
getViewAt occurs 1 times.
getViewBinder occurs 1 times.
getViewHeightWithTitle occurs 2 times.
getViewTreeObserver occurs 6 times.
getViewType occurs 1 times.
getViewTypeCount occurs 17 times.
getViewables occurs 4 times.
getVisibility occurs 5 times.
getVisibleItems occurs 4 times.
getVisibleLimit occurs 1 times.
getVisibleTitleHeightCompat occurs 5 times.
getWakeLock occurs 1 times.
getWantsAllOnMoveCalls occurs 2 times.
getWatchdogPolicy occurs 1 times.
getWidth occurs 49 times.
getWifiManager occurs 6 times.
getWikiSummary occurs 1 times.
getWindow occurs 15 times.
getWindowAnimations occurs 4 times.
getWindowVisibleDisplayFrame occurs 2 times.
getWord occurs 10 times.
getWordCount occurs 4 times.
getWritableDatabase occurs 2 times.
getXmlAsString occurs 2 times.
getXmlAttribute occurs 7 times.
getXmlNSPrefix occurs 1 times.
getXmlName occurs 1 times.
getXmlString occurs 1 times.
getisWifiEnabled occurs 3 times.
getmAccount occurs 2 times.
getmFirstOutAnimation occurs 1 times.
getmLastPause occurs 2 times.
getnetPref occurs 1 times.
getnetworkSSID occurs 3 times.
go occurs 23 times.
goBack occurs 7 times.
goHome occurs 1 times.
goTo occurs 5 times.
goToUnreadMessageSearch occurs 1 times.
googleSearch occurs 1 times.
gotoIdleState occurs 6 times.
gotoNext occurs 3 times.
groupMessagesByAccount occurs 3 times.
handleAsyncUntaggedResponse occurs 2 times.
handleAuthAction occurs 2 times.
handleBroadcast occurs 3 times.
handleCommandIntent occurs 3 times.
handleConnect occurs 2 times.
handleConnectIntent occurs 2 times.
handleCryptoAppDependencies occurs 3 times.
handleDataChanged occurs 6 times.
handleFetchResponse occurs 3 times.
handleHome occurs 1 times.
handleIgnoredTag occurs 2 times.
handleIntent occurs 10 times.
handleIntentMessage occurs 1 times.
handleLoadPref occurs 2 times.
handleMessage occurs 25 times.
handleNetPrefChange occurs 1 times.
handleNetworkAction occurs 2 times.
handleNetworkResult occurs 1 times.
handleOnDestroy occurs 1 times.
handleOnPause occurs 1 times.
handlePossibleUidNext occurs 3 times.
handlePrefChange occurs 1 times.
handleReassociateEvent occurs 2 times.
handleScanResults occurs 2 times.
handleSendText occurs 3 times.
handleStart occurs 5 times.
handleStyledAttributes occurs 4 times.
handleSupplicantIntent occurs 2 times.
handleSupplicantState occurs 2 times.
handleSwipe occurs 3 times.
handleSwitchCompleteCallback occurs 3 times.
handleTag occurs 2 times.
handleUntaggedResponse occurs 8 times.
handleUntaggedResponses occurs 3 times.
handleWidgetAction occurs 2 times.
handleWifiServiceDisable occurs 2 times.
handleWifiServiceEnable occurs 2 times.
handleWifiState occurs 2 times.
handlerWrapper occurs 12 times.
hanldeOnResume occurs 1 times.
hasAddedItem occurs 2 times.
hasArchiveFolder occurs 1 times.
hasAttachments occurs 3 times.
hasAttribute occurs 2 times.
hasAttributeTransformations occurs 1 times.
hasAttributes occurs 1 times.
hasCapability occurs 3 times.
hasChild occurs 1 times.
hasChildren occurs 1 times.
hasCollapsibleActionView occurs 2 times.
hasConnectivity occurs 1 times.
hasContactPicker occurs 1 times.
hasCopyTags occurs 1 times.
hasData occurs 1 times.
hasDividerBeforeChildAt occurs 5 times.
hasDraftsFolder occurs 1 times.
hasEditorApply occurs 1 times.
hasEmbeddedTabs occurs 2 times.
hasEmoji occurs 1 times.
hasEncryptionKeys occurs 1 times.
hasExpandedActionView occurs 2 times.
hasExternalImages occurs 1 times.
hasFeature occurs 8 times.
hasFocus occurs 2 times.
hasInstances occurs 4 times.
hasJellyBean occurs 1 times.
hasParent occurs 1 times.
hasPermissions occurs 2 times.
hasPermittedTags occurs 1 times.
hasPublicKeyForEmail occurs 3 times.
hasSecretKeyForEmail occurs 3 times.
hasSentFolder occurs 1 times.
hasSignatureKey occurs 1 times.
hasSpamFolder occurs 1 times.
hasStableIds occurs 16 times.
hasStackTrace occurs 1 times.
hasSubMenu occurs 14 times.
hasText occurs 6 times.
hasThreadChildren occurs 1 times.
hasToBeEncoded occurs 1 times.
hasTransformationForTag occurs 1 times.
hasTrashFolder occurs 1 times.
hasValue occurs 2 times.
hasVisibleItems occurs 8 times.
hasVoiceSearch occurs 4 times.
hasWindowFocus occurs 2 times.
hashCode occurs 25 times.
hashKeyForDisk occurs 3 times.
hashSum occurs 2 times.
help occurs 12 times.
hide occurs 10 times.
hideAdditionalHeaders occurs 4 times.
hideAlbumArt occurs 2 times.
hideAllViews occurs 1 times.
hideKeyBoard occurs 1 times.
hideMessages occurs 1 times.
hideOverflowMenu occurs 8 times.
hideProgressBars occurs 4 times.
hideSoftKeyboard occurs 1 times.
hideSubMenus occurs 4 times.
hideSubjectLine occurs 1 times.
highlight occurs 4 times.
hitCount occurs 1 times.
htmlToSpanned occurs 1 times.
htmlToText occurs 1 times.
htmlifyMessageFooter occurs 1 times.
htmlifyMessageHeader occurs 1 times.
hueToPoint occurs 2 times.
i occurs 2 times.
iUpdateNotificationState occurs 1 times.
icmpCache occurs 3 times.
icmpHostup occurs 2 times.
identifier occurs 6 times.
idle occurs 5 times.
if occurs 818 times.
ignoreUntil occurs 4 times.
implFlush occurs 2 times.
implReset occurs 2 times.
importAccount occurs 2 times.
importCats occurs 3 times.
importCodePointFromIphone occurs 1 times.
importFolder occurs 2 times.
importGlobalSettings occurs 2 times.
importIdentities occurs 2 times.
importParties occurs 2 times.
importSettings occurs 2 times.
importStringFromIphone occurs 2 times.
includeQuotedText occurs 2 times.
incrementProgressBy occurs 4 times.
incrementSecondaryProgressBy occurs 2 times.
indexMessage occurs 4 times.
indexMsgNums occurs 2 times.
indexOf occurs 3 times.
indexOfChild occurs 3 times.
indexOfWordPrefix occurs 2 times.
indexUids occurs 3 times.
inflate occurs 5 times.
inflateDialog occurs 1 times.
inflateEnd occurs 3 times.
inflateInit occurs 8 times.
inflateReset occurs 3 times.
inflateSetDictionary occurs 2 times.
inflateSync occurs 2 times.
inflateSyncPoint occurs 1 times.
informUserOfStatus occurs 23 times.
init occurs 60 times.
initAbsListView occurs 9 times.
initAbsSpinner occurs 6 times.
initActionBar occurs 25 times.
initAnimation occurs 14 times.
initAudioPreference occurs 3 times.
initBottomActionBar occurs 2 times.
initChars occurs 2 times.
initCollapsedLayout occurs 2 times.
initData occurs 2 times.
initDiskCache occurs 3 times.
initExpandedLayout occurs 2 times.
initExpandedPlaybackActions occurs 2 times.
initForMenu occurs 10 times.
initForMode occurs 2 times.
initFromColumns occurs 3 times.
initFromIntent occurs 1 times.
initGestureDetector occurs 3 times.
initGridView occurs 6 times.
initIndeterminateProgress occurs 2 times.
initInterface occurs 2 times.
initListPreference occurs 9 times.
initListView occurs 6 times.
initLruCache occurs 2 times.
initObjects occurs 4 times.
initPaintTools occurs 2 times.
initPlaybackActions occurs 2 times.
initPlaybackControls occurs 2 times.
initProgress occurs 2 times.
initProgressBar occurs 4 times.
initSizePreference occurs 3 times.
initSoundPool occurs 4 times.
initSummary occurs 13 times.
initSwapPreference occurs 3 times.
initTitle occurs 14 times.
initUpdate occurs 2 times.
initWebkit occurs 8 times.
initWorkArea occurs 4 times.
initialValue occurs 10 times.
initialVersion occurs 2 times.
initialize occurs 14 times.
initializeActionBar occurs 6 times.
initializeActivityView occurs 3 times.
initializeButtonPanel occurs 2 times.
initializeComponent occurs 2 times.
initializeCrypto occurs 3 times.
initializeDictionary occurs 16 times.
initializeDisplayMode occurs 3 times.
initializeFragments occurs 3 times.
initializeFromMailto occurs 2 times.
initializeLayout occurs 6 times.
initializeListView occurs 2 times.
initializeLogger occurs 2 times.
initializeMessageList occurs 2 times.
initializePanelMenu occurs 2 times.
initializePullToRefresh occurs 2 times.
initializeScrollView occurs 20 times.
initializeSortSettings occurs 2 times.
initializeUI occurs 18 times.
inputStreamToString occurs 3 times.
insert occurs 35 times.
insertAttribute occurs 9 times.
insertAudioConfirmation occurs 2 times.
insertCheckBox occurs 6 times.
insertChild occurs 3 times.
insertChildAfter occurs 1 times.
insertChildBefore occurs 1 times.
insertDefaultPaymentMethods occurs 2 times.
insertGeneralAttribute occurs 1 times.
insertIconView occurs 4 times.
insertIntoQuotedFooter occurs 1 times.
insertIntoQuotedHeader occurs 1 times.
insertLocationData occurs 2 times.
insertRadioButton occurs 6 times.
insertTimeStamp occurs 2 times.
installDecor occurs 14 times.
instance occurs 3 times.
instantiateItem occurs 3 times.
intValue occurs 4 times.
intentActionEditIncomingSettings occurs 1 times.
intentActionEditOutgoingSettings occurs 1 times.
intentDisplaySearch occurs 2 times.
internalOpen occurs 3 times.
invalidIdError occurs 1 times.
invalidLengths occurs 3 times.
invalidate occurs 102 times.
invalidateAfterUpdate occurs 10 times.
invalidateDrawable occurs 2 times.
invalidateOptionsMenu occurs 25 times.
invalidateSelf occurs 2 times.
invertSelection occurs 3 times.
invoke occurs 6 times.
invokeItem occurs 4 times.
ioExceptionHandler occurs 16 times.
is occurs 2 times.
isAReferenceTag occurs 1 times.
isAccountExpungeCapable occurs 1 times.
isAccountNameUsed occurs 1 times.
isActionBarDark occurs 1 times.
isActionButton occurs 2 times.
isActionViewExpanded occurs 8 times.
isActive occurs 1 times.
isAdvancedXmlEscape occurs 1 times.
isAfterLast occurs 3 times.
isAlbum occurs 2 times.
isAlbumPage occurs 1 times.
isAllRead occurs 4 times.
isAllowHtmlInsideAttributes occurs 1 times.
isAllowMultiWordAttributes occurs 1 times.
isAllowedInLastOpenTag occurs 1 times.
isAlwaysShowCcBcc occurs 1 times.
isAnIdentity occurs 2 times.
isAndroidOverScrollEnabled occurs 1 times.
isArtist occurs 4 times.
isArtistAlbumPage occurs 1 times.
isArtistPage occurs 1 times.
isArtistSongPage occurs 1 times.
isAsc occurs 1 times.
isAtt occurs 1 times.
isAutoShutdown occurs 1 times.
isAvailable occurs 6 times.
isAway occurs 2 times.
isBackedUp occurs 1 times.
isBeforeFirst occurs 3 times.
isBusy occurs 1 times.
isCentered occurs 2 times.
isChar occurs 5 times.
isCharEquals occurs 1 times.
isCharSimple occurs 10 times.
isCheckMailSupported occurs 1 times.
isCheckable occurs 8 times.
isChecked occurs 9 times.
isClosed occurs 3 times.
isCollapsed occurs 4 times.
isColorDark occurs 1 times.
isConnected occurs 1 times.
isContinueAfter occurs 1 times.
isCopy occurs 1 times.
isCopyCapable occurs 7 times.
isCryptoAutoEncrypt occurs 1 times.
isDayOfWeek occurs 2 times.
isDefaultAscending occurs 1 times.
isDefaultQuotedTextShown occurs 1 times.
isDelimiter occurs 1 times.
isDeprecated occurs 1 times.
isDetailedLayout occurs 4 times.
isDirectory occurs 1 times.
isDisableScrollingWhileRefreshing occurs 1 times.
isDiskCachePaused occurs 1 times.
isDisplayHiddenFiles occurs 2 times.
isDragEnabled occurs 1 times.
isEmailAddressValid occurs 1 times.
isEmailInUnknownContactsCache occurs 1 times.
isEmpty occurs 8 times.
isEmptyString occurs 1 times.
isEmptyTag occurs 1 times.
isEnabled occurs 16 times.
isEncrypted occurs 3 times.
isErrorFolder occurs 1 times.
isExclusiveCheckable occurs 2 times.
isExpandedFormat occurs 2 times.
isExpungeCapable occurs 2 times.
isExternalStorageAvailable occurs 1 times.
isExternalStorageRemovable occurs 1 times.
isFatalTagSatisfied occurs 1 times.
isFavorite occurs 5 times.
isFavorites occurs 1 times.
isFile occurs 1 times.
isFilenameValid occurs 1 times.
isFilterBranchTrue occurs 3 times.
isFirst occurs 4 times.
isFirstItemVisible occurs 2 times.
isFirstRun occurs 1 times.
isFirstRunEver occurs 1 times.
isFlagSupported occurs 2 times.
isFocused occurs 2 times.
isFormed occurs 1 times.
isFullUrl occurs 1 times.
isFunctionCall occurs 1 times.
isGalleryBuggy occurs 1 times.
isGenre occurs 1 times.
isGridLayout occurs 1 times.
isHeadAndBodyTag occurs 1 times.
isHeadTag occurs 1 times.
isHexadecimalDigit occurs 1 times.
isHideSpecialAccounts occurs 1 times.
isHigher occurs 1 times.
isIconfiedByDefault occurs 2 times.
isIconified occurs 2 times.
isIdentifier occurs 1 times.
isIdentifierChar occurs 2 times.
isIdentifierHelperChar occurs 1 times.
isIdentifierStartChar occurs 3 times.
isIdentityDescriptionUsed occurs 1 times.
isIdle occurs 1 times.
isIdleCapable occurs 1 times.
isIgnorePermitted occurs 1 times.
isIgnoreQuestAndExclam occurs 1 times.
isInContacts occurs 2 times.
isInDomain occurs 7 times.
isInFilterMode occurs 8 times.
isInTopGroup occurs 2 times.
isInTouchMode occurs 4 times.
isInboundOffhook occurs 1 times.
isIndeterminate occurs 2 times.
isInitialized occurs 3 times.
isInputMethodNotNeeded occurs 4 times.
isIntegrate occurs 1 times.
isIntentAvailable occurs 1 times.
isIpAddress occurs 1 times.
isItemSelectable occurs 1 times.
isLandscape occurs 1 times.
isLandscapeMode occurs 2 times.
isLast occurs 4 times.
isLastAdded occurs 2 times.
isLastItemVisible occurs 2 times.
isLeafNode occurs 1 times.
isLed occurs 1 times.
isLoadFinished occurs 1 times.
isLoggable occurs 1 times.
isManualSearch occurs 2 times.
isMarkAllAsReadSupported occurs 1 times.
isMarkMessageAsReadOnView occurs 1 times.
isMasterVisible occurs 1 times.
isMeasureWithLargestChildEnabled occurs 2 times.
isMenuChanged occurs 2 times.
isMessageHidden occurs 1 times.
isMessageRead occurs 1 times.
isMessageReadReceiptAlways occurs 1 times.
isMessageSuppressed occurs 2 times.
isMimeType occurs 3 times.
isMinimizedTagSyntax occurs 4 times.
isMountPoint occurs 2 times.
isMoveCapable occurs 8 times.
isMultiSelection occurs 1 times.
isMustCloseTag occurs 1 times.
isNamespacesAware occurs 1 times.
isNear occurs 2 times.
isNot occurs 2 times.
isNotEmpty occurs 1 times.
isNotificationEnabled occurs 1 times.
isNotificationShowsUnreadCount occurs 1 times.
isNotifyNewMail occurs 1 times.
isNotifySelfNewMail occurs 1 times.
isNull occurs 4 times.
isNullOrEmpty occurs 1 times.
isNumberColumn occurs 1 times.
isNumberValid occurs 1 times.
isOmitComments occurs 1 times.
isOmitDeprecatedTags occurs 1 times.
isOmitDoctypeDeclaration occurs 1 times.
isOmitHtmlEnvelope occurs 1 times.
isOmitUnknownTags occurs 1 times.
isOmitXmlDeclaration occurs 1 times.
isOnline occurs 1 times.
isOpen occurs 6 times.
isOutboundOffhook occurs 1 times.
isOutbox occurs 2 times.
isOverflowMenuShowing occurs 8 times.
isOverflowReserved occurs 6 times.
isPartTextualBody occurs 2 times.
isPermanentFailure occurs 1 times.
isPlaying occurs 6 times.
isPlaylist occurs 1 times.
isPredefined occurs 1 times.
isPreserveSourceAttributes occurs 1 times.
isPullToRefreshEnabled occurs 3 times.
isPullToRefreshOverScrollEnabled occurs 3 times.
isPushCapable occurs 2 times.
isPushPollOnConnect occurs 1 times.
isQueryRefinementEnabled occurs 2 times.
isQuietTime occurs 1 times.
isQwertyMode occurs 10 times.
isReady occurs 5 times.
isReadyForPull occurs 1 times.
isReadyForPullDown occurs 1 times.
isReadyForPullDownResponse occurs 1 times.
isReadyForPullEnd occurs 11 times.
isReadyForPullStart occurs 10 times.
isReadyForPullUp occurs 1 times.
isReadyForPullUpResponse occurs 1 times.
isRecentPage occurs 1 times.
isRecognizeUnicodeChars occurs 1 times.
isRefreshing occurs 4 times.
isRegistered occurs 1 times.
isRememberLastLocation occurs 1 times.
isRemoteFolder occurs 2 times.
isRemoteSearch occurs 2 times.
isRemoteSearchAllowed occurs 1 times.
isRemoteSearchFullText occurs 1 times.
isRemoveEnabled occurs 1 times.
isRemoving occurs 1 times.
isReplyAfterQuote occurs 1 times.
isReservedTag occurs 1 times.
isReservedXmlChar occurs 1 times.
isReservingOverflow occurs 2 times.
isRingNotified occurs 1 times.
isRinging occurs 1 times.
isRunning occurs 12 times.
isScreenReaderActive occurs 2 times.
isScriptOrStyle occurs 3 times.
isScrollableForAccessibility occurs 2 times.
isScrolling occurs 1 times.
isScrollingWhileRefreshingEnabled occurs 2 times.
isSearchByDateCapable occurs 1 times.
isSecure occurs 1 times.
isSeenFlagSupported occurs 2 times.
isSelected occurs 1 times.
isSelectedBold occurs 1 times.
isSendCapable occurs 2 times.
isServiceAvailable occurs 1 times.
isSet occurs 5 times.
isShortcutKey occurs 8 times.
isShortcutsVisible occurs 6 times.
isShowOngoing occurs 1 times.
isShowTimeForOldDays occurs 3 times.
isShowTimeForOldDaysThisYear occurs 3 times.
isShowing occurs 15 times.
isShowingPopup occurs 2 times.
isShown occurs 6 times.
isSignatureBeforeQuotedText occurs 1 times.
isSigned occurs 3 times.
isSimpleLayout occurs 4 times.
isSingleAccountMode occurs 1 times.
isSingleColumnLayoutSupported occurs 1 times.
isSingleFolderMode occurs 4 times.
isSnap occurs 1 times.
isSongPage occurs 1 times.
isSortAscending occurs 3 times.
isSortEnabled occurs 1 times.
isSpecialFolder occurs 1 times.
isSplitActionBar occurs 2 times.
isStartToken occurs 3 times.
isStarted occurs 6 times.
isStatusResponse occurs 1 times.
isStripSignature occurs 1 times.
isSubmitAreaEnabled occurs 4 times.
isSubmitButtonEnabled occurs 2 times.
isSuccessful occurs 2 times.
isSupported occurs 4 times.
isSyncDisabled occurs 2 times.
isSynch occurs 1 times.
isTabCarouselIsAnimating occurs 1 times.
isTablet occurs 1 times.
isTail occurs 4 times.
isThreadedViewEnabled occurs 1 times.
isTobeDeleted occurs 1 times.
isToken occurs 5 times.
isTransResCharsToNCR occurs 1 times.
isTransSpecialEntitiesToNCR occurs 1 times.
isTranslateSpecialEntities occurs 1 times.
isTrashLocalOnly occurs 2 times.
isTreatDeprecatedTagsAsContent occurs 1 times.
isTreatUnknownTagsAsContent occurs 1 times.
isUiFocusable occurs 4 times.
isUnique occurs 1 times.
isUseCdataForScriptAndStyle occurs 1 times.
isUseEmptyElementTags occurs 1 times.
isValid occurs 2 times.
isValidAddressOnly occurs 1 times.
isValidDouble occurs 1 times.
isValidFilter occurs 4 times.
isValidForAccountType occurs 1 times.
isValidInt occurs 1 times.
isValidInteger occurs 1 times.
isValidXmlChar occurs 2 times.
isValidXmlCharSafe occurs 1 times.
isValidXmlIdentifier occurs 1 times.
isVisible occurs 9 times.
isWhiteSpace occurs 1 times.
isWhitespace occurs 3 times.
isWhitespaceSafe occurs 2 times.
isWhitespaceString occurs 1 times.
isWifiOn occurs 1 times.
isWord occurs 34 times.
item occurs 5 times.
items occurs 3 times.
iterator occurs 1 times.
itoc occurs 4 times.
journalRebuildRequired occurs 2 times.
jumpDrawablesToCurrentState occurs 2 times.
key occurs 2 times.
keyChange occurs 4 times.
killMode occurs 6 times.
killNotification occurs 4 times.
langInit occurs 1 times.
last occurs 3 times.
lastModified occurs 1 times.
launchIntent occurs 4 times.
launchOriginalActivity occurs 4 times.
launchQuerySearch occurs 10 times.
launchSuggestion occurs 4 times.
layout occurs 8 times.
layoutChanged occurs 3 times.
layoutChildren occurs 4 times.
length occurs 1 times.
limitToDisplayableFolders occurs 2 times.
linkButtons occurs 12 times.
linkComposer occurs 2 times.
linkValidator occurs 1 times.
linkifyText occurs 3 times.
listAccounts occurs 1 times.
listAllFiles occurs 10 times.
listEntriesBuilder occurs 2 times.
listFiles occurs 3 times.
listFolders occurs 7 times.
listFoldersFailed occurs 3 times.
listFoldersFinished occurs 3 times.
listFoldersStarted occurs 3 times.
listFoldersSynchronous occurs 2 times.
listIterator occurs 4 times.
listLocalMessages occurs 1 times.
listLocalMessagesAddMessages occurs 2 times.
listLocalMessagesFailed occurs 1 times.
listLocalMessagesFinished occurs 1 times.
listLocalMessagesRemoveMessage occurs 1 times.
listLocalMessagesStarted occurs 1 times.
listLocalMessagesUpdateMessage occurs 1 times.
listViewToAdapterPosition occurs 4 times.
liveUpdate occurs 3 times.
load occurs 1 times.
loadAccount occurs 2 times.
loadAccounts occurs 3 times.
loadActivitiesLocked occurs 4 times.
loadAlbumImage occurs 1 times.
loadArtistImage occurs 1 times.
loadAttachment occurs 1 times.
loadAttachmentFailed occurs 2 times.
loadAttachmentFinished occurs 2 times.
loadAttachmentStarted occurs 2 times.
loadAttachments occurs 2 times.
